*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SkinnerDuino_05b
*Date=16:59:06
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
102;;;44.6025;-35.2034;0;Bottom;Copper Fill104
103;;;67.6149;-12.699;0;Bottom;Copper Fill45
104;;;30.4433;-37.8742;0;Bottom;Via1
105;;;64.7955;-27.0627;0;Bottom;Copper Fill76
106;;;24.1682;-2.70408;0;Bottom;Copper Fill50
107;;;7.3533;-18.9855;0;Bottom;Copper Fill36
108;;;4.2164;-15.6454;0;Bottom;Copper Fill26
109;;;66.8529;-25.8562;0;Bottom;Copper Fill65
110;;;58.1915;-13.8039;0;Bottom;Copper Fill85
111;;;5.27034;-40.0195;-90;Bottom;TXT5
112;10k;THT;35.5584;-46.3192;0;Bottom;R9
113;;3 mm [THT];20.9688;-30.7625;-90;Bottom;LED3
114;;;1.7018;-9.39698;0;Bottom;Copper Fill24
115;;;52.5273;-17.4869;0;Bottom;Copper Fill81
116;;;54.2799;-22.7447;0;Bottom;Copper Fill15
117;;;37.3254;-24.4973;0;Bottom;Copper Fill103
118;;;36.4491;-25.2339;0;Bottom;Copper Fill14
119;;;51.3081;-27.5707;0;Bottom;Copper Fill11
120;;;23.3173;-3.55498;0;Bottom;Copper Fill117
121;;;45.8979;-8.43178;0;Bottom;Copper Fill54
122;10k;THT;40.0223;-8.37929;0;Bottom;R10
123;100µF;100 mil [THT, electrolytic];19.0281;-20.9285;0;Bottom;C6
124;;;54.8006;-45.8841;0;Bottom;Copper Fill120
125;;THT;53.7495;-39.4656;-90;Bottom;OUT3 3.3V
126;;;59.8171;-5.42188;0;Bottom;Copper Fill89
127;10k;THT;49.7807;-46.679;0;Bottom;R11
128;;;8.636;-32.8539;0;Bottom;Copper Fill7
129;;;8.61776;-47.012;-90;Bottom;TXT8
130;;;60.9093;-20.8905;0;Bottom;Copper Fill77
131;;;63.3477;-37.9339;0;Bottom;Copper Fill73
132;;3 mm [THT];14.8316;-5.88572;0;Bottom;PWR LED
133;;;52.5273;-20.1031;0;Bottom;Copper Fill16
134;;;4.5593;-20.7127;0;Bottom;Copper Fill96
135;330;THT;60.5788;-40.1316;-90;Bottom;R2
136;;THT;36.1152;-27.4046;90;Bottom;L293D
